location,datetime,sensorType,value
Noora's farm,2019-01-22T02:19:17.967Z,temperature,-15.0
Noora's farm,2019-01-22T03:45:52.159Z,temperature,-13.8
Noora's farm,2019-01-22T21:36:05.567Z,temperature,-16.6
Noora's farm,2019-01-23T21:36:05.567Z,pH,5.92
Noora's farm,2019-01-23T21:36:05.567Z,rainFall,1.9
Noora's farm,2019-01-23T14:29:47.342Z,temperature,-9.9
Noora's farm,2019-01-23T01:23:05.394Z,temperature,-13.3
Noora's farm,2019-01-24T01:23:05.394Z,pH,5.73
Noora's farm,2019-01-24T01:23:05.394Z,rainFall,0
Noora's farm,2019-01-24T13:45:33.066Z,temperature,-12.3
Noora's farm,2019-01-24T19:24:17.227Z,temperature,-15.1
Noora's farm,2019-01-25T19:24:17.227Z,pH,5.86
Noora's farm,2019-01-25T19:24:17.227Z,rainFall,2.1
Noora's farm,2019-01-25T18:29:50.706Z,temperature,-5.9
Noora's farm,2019-01-26T18:29:50.706Z,pH,6.28
Noora's farm,2019-01-26T18:29:50.706Z,rainFall,0
Noora's farm,2019-01-26T10:37:53.995Z,temperature,-2.9
Noora's farm,2019-01-26T09:12:00.167Z,temperature,-2.1
Noora's farm,2019-01-27T09:12:00.167Z,pH,6.41
Noora's farm,2019-01-27T09:12:00.167Z,rainFall,0
Noora's farm,2019-01-27T01:32:02.868Z,temperature,-0.4
Noora's farm,2019-01-28T01:32:02.868Z,pH,5.98
Noora's farm,2019-01-28T01:32:02.868Z,rainFall,2.0
Noora's farm,2019-01-28T07:04:26.081Z,temperature,2.4
Noora's farm,2019-01-29T07:04:26.081Z,pH,5.77
Noora's farm,2019-01-29T07:04:26.081Z,rainFall,0
Noora's farm,2019-01-29T08:18:54.667Z,temperature,-0.6
Noora's farm,2019-01-30T08:18:54.667Z,pH,6.29
Noora's farm,2019-01-30T08:18:54.667Z,rainFall,0
Noora's farm,2019-01-30T13:01:49.130Z,temperature,0.4
Noora's farm,2019-01-30T21:32:17.315Z,temperature,-2.5
Noora's farm,2019-01-30T02:07:56.149Z,temperature,-1.4
Noora's farm,2019-01-31T02:07:56.149Z,pH,6.14
Noora's farm,2019-01-31T02:07:56.149Z,rainFall,1.6
Noora's farm,2019-01-31T20:27:36.602Z,temperature,0.3
Noora's farm,2019-02-01T20:27:36.602Z,pH,5.76
Noora's farm,2019-02-01T20:27:36.602Z,rainFall,1.9
Noora's farm,2019-02-01T19:13:35.932Z,temperature,-11.4
Noora's farm,2019-02-01T05:39:48.727Z,temperature,-10.1
Noora's farm,2019-02-02T05:39:48.727Z,pH,6.57
Noora's farm,2019-02-02T05:39:48.727Z,rainFall,1.6
Noora's farm,2019-02-02T05:32:07.259Z,temperature,-1.2
Noora's farm,2019-02-03T05:32:07.259Z,pH,6.25
Noora's farm,2019-02-03T05:32:07.259Z,rainFall,0
Noora's farm,2019-02-03T05:47:39.968Z,temperature,-2.5
Noora's farm,2019-02-04T05:47:39.968Z,pH,6.33
Noora's farm,2019-02-04T05:47:39.968Z,rainFall,0
Noora's farm,2019-02-04T16:48:32.100Z,temperature,-0.9
Noora's farm,2019-02-04T05:23:07.326Z,temperature,0.1
Noora's farm,2019-02-05T05:23:07.326Z,pH,5.67
Noora's farm,2019-02-05T05:23:07.326Z,rainFall,1.0
Noora's farm,2019-02-05T02:29:17.427Z,temperature,-10.1
Noora's farm,2019-02-05T15:25:43.236Z,temperature,-8.1
Noora's farm,2019-02-06T15:25:43.236Z,pH,6.19
Noora's farm,2019-02-06T15:25:43.236Z,rainFall,2.5
Noora's farm,2019-02-06T08:58:36.522Z,temperature,0.7
Noora's farm,2019-02-05T23:48:51.995Z,temperature,-2.5
Noora's farm,2019-02-06T07:10:37.076Z,temperature,0.8
Noora's farm,2019-02-07T17:53:36.348Z,pH,6.06
Noora's farm,2019-02-07T17:53:36.348Z,rainFall,4.8
Noora's farm,2019-02-06T22:14:24.448Z,temperature,-7.5
Noora's farm,2019-02-07T13:22:46.415Z,temperature,-3.2
Noora's farm,2019-02-08T13:22:46.415Z,pH,5.79
Noora's farm,2019-02-08T13:22:46.415Z,rainFall,2.2
Noora's farm,2019-02-08T09:20:22.588Z,temperature,6.4
Noora's farm,2019-02-08T12:14:38.934Z,temperature,6.1
Noora's farm,2019-02-09T11:40:16.205Z,pH,5.97
Noora's farm,2019-02-09T11:40:16.205Z,rainFall,0
Noora's farm,2019-02-09T09:37:59.318Z,temperature,-1.8
Noora's farm,2019-02-09T21:19:50.713Z,temperature,-5.4
Noora's farm,2019-02-10T21:19:50.713Z,pH,6.35
Noora's farm,2019-02-10T21:19:50.713Z,rainFall,2.4
Noora's farm,2019-02-10T00:03:30.711Z,temperature,0.2
Noora's farm,2019-02-10T07:45:09.492Z,temperature,2.3
Noora's farm,2019-02-11T10:55:04.565Z,pH,6.57
Noora's farm,2019-02-11T10:55:04.565Z,rainFall,3.5
Noora's farm,2019-02-11T12:50:13.735Z,temperature,-5.5
Noora's farm,2019-02-12T12:50:13.735Z,pH,6.39
Noora's farm,2019-02-12T12:50:13.735Z,rainFall,1.9
Noora's farm,2019-02-12T19:00:23.782Z,temperature,3.9
Noora's farm,2019-02-13T19:00:23.782Z,pH,6.30
Noora's farm,2019-02-13T19:00:23.782Z,rainFall,0
Noora's farm,2019-02-12T22:43:25.935Z,temperature,-11.1
Noora's farm,2019-02-13T08:36:50.473Z,temperature,-5.0
Noora's farm,2019-02-14T08:36:50.473Z,pH,6.30
Noora's farm,2019-02-14T08:36:50.473Z,rainFall,6.0
Noora's farm,2019-02-14T15:33:10.819Z,temperature,6.8
Noora's farm,2019-02-15T07:14:02.170Z,pH,5.83
Noora's farm,2019-02-15T07:14:02.170Z,rainFall,2.0
Noora's farm,2019-02-14T22:16:59.635Z,temperature,5.3
Noora's farm,2019-02-15T21:59:09.222Z,temperature,5.7
Noora's farm,2019-02-15T00:15:46.312Z,temperature,5.7
Noora's farm,2019-02-16T00:15:46.312Z,pH,6.33
Noora's farm,2019-02-16T00:15:46.312Z,rainFall,2.2
Noora's farm,2019-02-16T20:40:04.681Z,temperature,-3.3
Noora's farm,2019-02-16T11:20:01.745Z,temperature,-0.1
Noora's farm,2019-02-17T11:20:01.745Z,pH,6.31
Noora's farm,2019-02-17T11:20:01.745Z,rainFall,0
Noora's farm,2019-02-17T18:28:10.521Z,temperature,-6.3
Noora's farm,2019-02-17T07:09:08.457Z,temperature,-4.2
Noora's farm,2019-02-18T07:09:08.457Z,pH,6.16
Noora's farm,2019-02-18T07:09:08.457Z,rainFall,2.1
Noora's farm,2019-02-18T11:14:34.427Z,temperature,9.1
Noora's farm,2019-02-18T14:23:30.736Z,temperature,9.0
Noora's farm,2019-02-19T14:23:30.736Z,pH,6.63
Noora's farm,2019-02-19T14:23:30.736Z,rainFall,0
Noora's farm,2019-02-19T19:41:47.993Z,temperature,-4.9
Noora's farm,2019-02-20T19:41:47.993Z,pH,6.46
Noora's farm,2019-02-20T19:41:47.993Z,rainFall,2.4
Noora's farm,2019-02-19T22:26:47.878Z,temperature,-1.7
Noora's farm,2019-02-20T18:40:10.561Z,temperature,0.9
Noora's farm,2019-02-20T02:54:11.208Z,temperature,1.9
Noora's farm,2019-02-21T02:54:11.208Z,pH,6.40
Noora's farm,2019-02-21T02:54:11.208Z,rainFall,0
Noora's farm,2019-02-21T04:21:46.483Z,temperature,2.5
Noora's farm,2019-02-22T04:21:46.483Z,pH,6.18
Noora's farm,2019-02-22T04:21:46.483Z,rainFall,0
Noora's farm,2019-02-22T21:17:29.159Z,temperature,-5.5
Noora's farm,2019-02-23T00:16:04.651Z,pH,6.44
Noora's farm,2019-02-23T00:16:04.651Z,rainFall,1.9
Noora's farm,2019-02-23T08:20:51.424Z,temperature,9.5
Noora's farm,2019-02-24T21:20:10.066Z,pH,6.24
Noora's farm,2019-02-24T21:20:10.066Z,rainFall,0
Noora's farm,2019-02-24T10:24:32.558Z,temperature,10.1
Noora's farm,2019-02-25T10:24:32.558Z,pH,6.08
Noora's farm,2019-02-25T10:24:32.558Z,rainFall,4.4
Noora's farm,2019-02-25T07:09:41.224Z,temperature,-2.1
Noora's farm,2019-02-26T09:46:23.271Z,pH,5.68
Noora's farm,2019-02-26T09:46:23.271Z,rainFall,0
Noora's farm,2019-02-26T12:12:15.080Z,temperature,10.5
Noora's farm,2019-02-27T05:41:47.681Z,pH,5.98
Noora's farm,2019-02-27T05:41:47.681Z,rainFall,0
Noora's farm,2019-02-27T10:58:08.652Z,temperature,11.2
Noora's farm,2019-02-28T10:58:08.652Z,pH,5.96
Noora's farm,2019-02-28T10:58:08.652Z,rainFall,0
Noora's farm,2019-02-28T22:01:16.399Z,pH,6.24
Noora's farm,2019-02-28T22:01:16.399Z,rainFall,0
Noora's farm,2019-03-01T12:30:50.367Z,temperature,9.9
Noora's farm,2019-03-02T12:30:50.367Z,pH,6.01
Noora's farm,2019-03-02T12:30:50.367Z,rainFall,0
Noora's farm,2019-03-02T13:29:08.821Z,temperature,11.7
Noora's farm,2019-03-02T23:55:08.913Z,pH,6.36
Noora's farm,2019-03-02T23:55:08.913Z,rainFall,0
Noora's farm,2019-03-02T23:49:43.220Z,temperature,-4.1
Noora's farm,2019-03-03T17:47:16.287Z,temperature,-1.5
Noora's farm,2019-03-04T17:47:16.287Z,pH,6.13
Noora's farm,2019-03-04T17:47:16.287Z,rainFall,5.4
Noora's farm,2019-03-05T09:20:19.187Z,pH,5.84
Noora's farm,2019-03-05T09:20:19.187Z,rainFall,0
Noora's farm,2019-03-05T13:45:37.261Z,temperature,2.0
Noora's farm,2019-03-05T13:25:04.667Z,temperature,1.5
Noora's farm,2019-03-06T13:25:04.667Z,pH,5.75
Noora's farm,2019-03-06T13:25:04.667Z,rainFall,2.5
Noora's farm,2019-03-06T21:59:13.455Z,temperature,1.3
Noora's farm,2019-03-07T21:59:13.455Z,pH,6.00
Noora's farm,2019-03-07T21:59:13.455Z,rainFall,0
Noora's farm,2019-03-07T11:18:30.176Z,temperature,5.3
Noora's farm,2019-03-08T11:18:30.176Z,pH,6.58
Noora's farm,2019-03-08T11:18:30.176Z,rainFall,4.9
Noora's farm,2019-03-08T11:46:54.273Z,temperature,14.3
Noora's farm,2019-03-09T11:46:54.273Z,pH,6.48
Noora's farm,2019-03-09T11:46:54.273Z,rainFall,2.4
Noora's farm,2019-03-09T20:05:16.369Z,temperature,8.3
Noora's farm,2019-03-10T01:06:52.587Z,pH,5.98
Noora's farm,2019-03-10T01:06:52.587Z,rainFall,1.8
Noora's farm,2019-03-09T23:22:11.219Z,temperature,-2.4
Noora's farm,2019-03-11T01:33:49.213Z,pH,6.00
Noora's farm,2019-03-11T01:33:49.213Z,rainFall,0
Noora's farm,2019-03-11T20:15:14.003Z,temperature,10.9
Noora's farm,2019-03-11T01:44:20.530Z,temperature,12.0
Noora's farm,2019-03-12T01:44:20.530Z,pH,5.99
Noora's farm,2019-03-11T23:52:25.566Z,temperature,0.8
Noora's farm,2019-03-12T07:52:52.236Z,temperature,5.1
Noora's farm,2019-03-13T07:52:52.236Z,pH,5.68
Noora's farm,2019-03-13T07:52:52.236Z,rainFall,2.1
Noora's farm,2019-03-13T01:39:11.133Z,temperature,9.8
Noora's farm,2019-03-14T20:42:02.367Z,pH,5.78
Noora's farm,2019-03-14T20:42:02.367Z,rainFall,2.3
Noora's farm,2019-03-14T11:12:07.825Z,temperature,15.1
Noora's farm,2019-03-15T04:46:30.428Z,pH,5.81
Noora's farm,2019-03-15T04:46:30.428Z,rainFall,0
Noora's farm,2019-03-15T14:26:39.294Z,temperature,15.7
Noora's farm,2019-03-16T04:20:11.617Z,pH,6.30
Noora's farm,2019-03-16T04:20:11.617Z,rainFall,2.9
Noora's farm,2019-03-15T23:44:38.078Z,temperature,9.0
Noora's farm,2019-03-16T23:44:38.078Z,pH,6.52
Noora's farm,2019-03-16T23:44:38.078Z,rainFall,0
Noora's farm,2019-03-17T20:18:24.670Z,temperature,9.6
Noora's farm,2019-03-18T20:18:24.670Z,pH,6.11
Noora's farm,2019-03-18T20:18:24.670Z,rainFall,4.4
Noora's farm,2019-03-18T01:39:09.302Z,temperature,0.9
Noora's farm,2019-03-19T01:39:09.302Z,pH,6.38
Noora's farm,2019-03-19T01:39:09.302Z,rainFall,0
Noora's farm,2019-03-18T23:00:57.063Z,temperature,13.0
Noora's farm,2019-03-20T13:12:54.057Z,pH,6.16
Noora's farm,2019-03-20T13:12:54.057Z,rainFall,2.4
Noora's farm,2019-03-20T05:56:52.808Z,temperature,4.2
Noora's farm,2019-03-21T17:39:07.114Z,pH,6.06
Noora's farm,2019-03-21T17:39:07.114Z,rainFall,3.5
Noora's farm,2019-03-22T08:53:26.839Z,pH,6.35
Noora's farm,2019-03-22T08:53:26.839Z,rainFall,0
Noora's farm,2019-03-22T21:51:25.821Z,temperature,5.4
Noora's farm,2019-03-22T15:23:51.009Z,temperature,6.8
Noora's farm,2019-03-23T15:23:51.009Z,pH,5.91
Noora's farm,2019-03-23T15:23:51.009Z,rainFall,3.7
Noora's farm,2019-03-23T07:51:38.989Z,temperature,18.2
Noora's farm,2019-03-23T22:53:13.084Z,pH,6.38
Noora's farm,2019-03-23T22:53:13.084Z,rainFall,0
Noora's farm,2019-03-24T14:30:09.612Z,temperature,10.8
Noora's farm,2019-03-24T09:01:23.939Z,temperature,11.3
Noora's farm,2019-03-24T13:21:00.211Z,temperature,11.0
Noora's farm,2019-03-25T13:21:00.211Z,pH,6.42
Noora's farm,2019-03-25T13:21:00.211Z,rainFall,1.8
Noora's farm,2019-03-25T03:00:22.283Z,temperature,11.6
Noora's farm,2019-03-26T06:37:08.041Z,pH,5.78
Noora's farm,2019-03-26T06:37:08.041Z,rainFall,0
Noora's farm,2019-03-26T19:55:04.358Z,temperature,15.1
Noora's farm,2019-03-26T12:04:51.654Z,temperature,18.0
Noora's farm,2019-03-27T12:04:51.654Z,pH,6.02
Noora's farm,2019-03-27T12:04:51.654Z,rainFall,2.0
Noora's farm,2019-03-28T04:36:43.681Z,pH,6.46
Noora's farm,2019-03-28T04:36:43.681Z,rainFall,2.1
Noora's farm,2019-03-28T07:40:47.345Z,temperature,11.2
Noora's farm,2019-03-29T13:23:08.766Z,pH,5.74
Noora's farm,2019-03-29T13:23:08.766Z,rainFall,0
Noora's farm,2019-03-29T21:56:03.044Z,temperature,6.3
Noora's farm,2019-03-30T03:58:40.114Z,pH,6.33
Noora's farm,2019-03-30T03:58:40.114Z,rainFall,1.9
Noora's farm,2019-03-30T07:48:14.212Z,temperature,19.8
Noora's farm,2019-03-31T19:55:24.508Z,pH,6.04
Noora's farm,2019-03-31T19:55:24.508Z,rainFall,2.1
Noora's farm,2019-03-31T16:58:03.284Z,temperature,12.7
Noora's farm,2019-04-01T11:29:18.777Z,pH,6.00
Noora's farm,2019-04-01T11:29:18.777Z,rainFall,0
Noora's farm,2019-04-01T00:43:23.965Z,temperature,4.1
Noora's farm,2019-04-02T00:43:23.965Z,pH,5.87
Noora's farm,2019-04-02T00:43:23.965Z,rainFall,1.7
Noora's farm,2019-04-02T08:43:22.777Z,temperature,20.2
Noora's farm,2019-04-02T14:51:22.126Z,temperature,19.1
Noora's farm,2019-04-03T14:51:22.126Z,pH,6.13
Noora's farm,2019-04-03T14:51:22.126Z,rainFall,0
Noora's farm,2019-04-03T02:25:05.812Z,temperature,15.6
Noora's farm,2019-04-04T02:25:05.812Z,pH,6.37
Noora's farm,2019-04-04T02:25:05.812Z,rainFall,0
Noora's farm,2019-04-04T04:43:54.430Z,temperature,12.0
Noora's farm,2019-04-04T19:34:30.523Z,temperature,10.3
Noora's farm,2019-04-05T19:34:30.523Z,pH,5.98
Noora's farm,2019-04-05T19:34:30.523Z,rainFall,0
Noora's farm,2019-04-04T22:53:21.166Z,temperature,12.4
Noora's farm,2019-04-05T11:15:10.278Z,temperature,17.7
Noora's farm,2019-04-06T11:15:10.278Z,pH,5.99
Noora's farm,2019-04-06T11:15:10.278Z,rainFall,0
Noora's farm,2019-04-06T09:21:39.507Z,temperature,19.8
Noora's farm,2019-04-07T05:43:48.675Z,pH,5.83
Noora's farm,2019-04-07T05:43:48.675Z,rainFall,2.0
Noora's farm,2019-04-07T16:53:06.995Z,temperature,10.3
Noora's farm,2019-04-07T03:51:11.998Z,temperature,10.5
Noora's farm,2019-04-08T03:51:11.998Z,pH,5.79
Noora's farm,2019-04-08T03:51:11.998Z,rainFall,1.9
Noora's farm,2019-04-08T12:13:04.327Z,temperature,21.5
Noora's farm,2019-04-08T17:43:45.606Z,temperature,20.2
Noora's farm,2019-04-09T17:43:45.606Z,pH,6.53
Noora's farm,2019-04-09T17:43:45.606Z,rainFall,2.1
Noora's farm,2019-04-10T04:39:26.735Z,pH,6.25
Noora's farm,2019-04-10T04:39:26.735Z,rainFall,2.5
Noora's farm,2019-04-10T08:28:19.020Z,temperature,23.2
Noora's farm,2019-04-10T22:44:57.455Z,pH,6.17
Noora's farm,2019-04-10T22:44:57.455Z,rainFall,0
Noora's farm,2019-04-11T17:37:42.354Z,temperature,7.0
Noora's farm,2019-04-11T11:26:01.649Z,temperature,9.4
Noora's farm,2019-04-12T11:26:01.649Z,pH,6.13
Noora's farm,2019-04-12T11:26:01.649Z,rainFall,0
Noora's farm,2019-04-12T13:05:47.710Z,temperature,20.6
Noora's farm,2019-04-12T21:02:56.366Z,pH,6.52
Noora's farm,2019-04-12T21:02:56.366Z,rainFall,0
Noora's farm,2019-04-14T12:25:07.567Z,pH,6.03
Noora's farm,2019-04-14T12:25:07.567Z,rainFall,0
Noora's farm,2019-04-14T20:57:29.051Z,temperature,11.3
Noora's farm,2019-04-15T20:57:29.051Z,pH,6.60
Noora's farm,2019-04-15T20:57:29.051Z,rainFall,0
Noora's farm,2019-04-15T08:07:45.139Z,temperature,24.6
Noora's farm,2019-04-16T19:05:42.634Z,pH,6.54
Noora's farm,2019-04-16T19:05:42.634Z,rainFall,0
Noora's farm,2019-04-17T00:02:40.796Z,pH,6.27
Noora's farm,2019-04-17T00:02:40.796Z,rainFall,0
Noora's farm,2019-04-18T11:10:27.503Z,pH,6.26
Noora's farm,2019-04-18T11:10:27.503Z,rainFall,0
Noora's farm,2019-04-18T22:44:15.599Z,pH,6.52
Noora's farm,2019-04-18T22:44:15.599Z,rainFall,2.7
Noora's farm,2019-04-19T10:43:23.138Z,temperature,13.9
Noora's farm,2019-04-18T21:41:36.218Z,temperature,9.2
Noora's farm,2019-04-19T21:41:36.218Z,pH,6.07
Noora's farm,2019-04-19T21:41:36.218Z,rainFall,0
Noora's farm,2019-04-20T14:12:51.569Z,temperature,13.9
Noora's farm,2019-04-21T14:12:51.569Z,pH,5.92
Noora's farm,2019-04-21T14:12:51.569Z,rainFall,0
Noora's farm,2019-04-21T16:54:00.416Z,temperature,12.7
Noora's farm,2019-04-22T05:09:29.457Z,pH,6.50
Noora's farm,2019-04-22T05:09:29.457Z,rainFall,5.1
Noora's farm,2019-04-22T13:23:13.988Z,temperature,21.3
Noora's farm,2019-04-23T13:23:13.988Z,pH,6.48
Noora's farm,2019-04-23T13:23:13.988Z,rainFall,0
Noora's farm,2019-04-23T07:31:13.270Z,temperature,21.1
Noora's farm,2019-04-24T06:03:14.510Z,pH,6.43
Noora's farm,2019-04-24T06:03:14.510Z,rainFall,3.4
Noora's farm,2019-04-24T07:26:45.440Z,temperature,22.5
Noora's farm,2019-04-25T07:26:45.440Z,pH,5.76
Noora's farm,2019-04-25T07:26:45.440Z,rainFall,0
Noora's farm,2019-04-26T15:33:55.710Z,pH,6.33
Noora's farm,2019-04-26T15:33:55.710Z,rainFall,0
Noora's farm,2019-04-26T11:16:31.797Z,temperature,23.1
Noora's farm,2019-04-27T11:16:31.797Z,pH,6.61
Noora's farm,2019-04-27T11:16:31.797Z,rainFall,0
Noora's farm,2019-04-27T10:19:08.580Z,temperature,17.1
Noora's farm,2019-04-27T20:16:48.858Z,temperature,12.1
Noora's farm,2019-04-28T20:16:48.858Z,pH,6.48
Noora's farm,2019-04-28T20:16:48.858Z,rainFall,2.2
Noora's farm,2019-04-29T19:57:05.119Z,pH,6.30
Noora's farm,2019-04-29T19:57:05.119Z,rainFall,0
Noora's farm,2019-04-28T22:34:45.708Z,temperature,11.6
Noora's farm,2019-04-29T22:34:45.708Z,pH,6.33
Noora's farm,2019-04-29T22:34:45.708Z,rainFall,0
Noora's farm,2019-05-01T02:35:38.434Z,pH,5.71
Noora's farm,2019-05-01T02:35:38.434Z,rainFall,0
Noora's farm,2019-05-01T06:19:32.819Z,temperature,23.6
Noora's farm,2019-05-02T13:40:02.687Z,pH,6.36
Noora's farm,2019-05-02T13:40:02.687Z,rainFall,0
Noora's farm,2019-05-02T18:18:03.596Z,temperature,22.9
Noora's farm,2019-05-03T18:18:03.596Z,pH,5.63
Noora's farm,2019-05-03T18:18:03.596Z,rainFall,0
Noora's farm,2019-05-02T22:40:12.135Z,temperature,19.0
Noora's farm,2019-05-04T15:28:03.963Z,pH,5.80
Noora's farm,2019-05-04T15:28:03.963Z,rainFall,0
Noora's farm,2019-05-04T03:56:25.224Z,temperature,25.0
Noora's farm,2019-05-05T03:56:25.224Z,pH,6.62
Noora's farm,2019-05-05T03:56:25.224Z,rainFall,0
Noora's farm,2019-05-06T20:54:25.323Z,pH,6.01
Noora's farm,2019-05-06T20:54:25.323Z,rainFall,0
Noora's farm,2019-05-07T00:55:56.215Z,pH,6.02
Noora's farm,2019-05-07T00:55:56.215Z,rainFall,0
